mileage	year	price	tax	mpg	engineSize	used_car_status
15735	2017	12500	150	55.4	1.4	1
36203	2016	16500	20	64.2	2.0	1
29946	2016	11000	30	55.4	1.4	1
25952	2017	16800	145	67.3	2.0	1
19998	2019	17300	145	49.6	1.0	0
32260	2016	13900	30	58.9	1.4	1
76788	2016	13250	30	61.4	2.0	1
75185	2016	11750	20	70.6	2.0	1
46112	2015	10200	20	60.1	1.4	1
22451	2016	12000	30	55.4	1.4	0
28955	2017	16100	145	58.9	1.4	1
52198	2016	16500	125	57.6	2.0	1
44915	2016	17000	145	52.3	2.0	1
21695	2017	16400	30	58.9	1.4	0
47348	2015	15400	30	61.4	2.0	1
26156	2017	14500	145	58.9	1.4	1
28396	2016	15700	145	53.3	2.0	1
30516	2014	13900	30	56.5	1.4	1
37652	2016	19000	200	47.1	2.0	1
34110	2014	17000	145	47.9	1.4	0
37100	2017	17300	145	67.3	2.0	0
23714	2016	20200	200	47.1	2.0	0
21649	2017	22500	145	58.9	3.0	0
62748	2015	17500	150	53.3	3.0	1
23789	2016	20000	200	47.1	2.0	0
17418	2017	18500	145	62.8	2.0	0
33300	2017	19500	145	61.4	2.0	1
10793	2018	15800	145	56.5	1.4	0
25138	2018	17200	145	70.6	2.0	1
61176	2015	14000	30	62.8	2.0	1
54754	2015	9500	0	76.3	1.6	1
21369	2017	16500	125	51.4	1.4	0
39190	2014	15000	205	47.9	2.0	0
47482	2017	16000	150	47.9	1.4	0
40501	2016	16900	150	51.4	2.0	1
43195	2014	12300	200	47.9	2.0	1
31447	2017	10800	145	67.3	1.0	0
34030	2016	19400	125	58.9	2.0	0
29063	2017	16000	145	70.6	2.0	0
29545	2017	17100	145	65.7	2.0	0
75619	2015	11300	20	68.9	2.0	0
39603	2016	17200	160	50.4	2.0	0
42908	2017	20300	145	51.4	2.0	1
83872	2014	13200	125	58.9	2.0	1
58750	2016	15200	145	47.9	1.4	1
20029	2019	15700	145	49.6	1.0	0
22958	2018	16600	145	50.4	1.8	0
32097	2017	14400	145	72.4	2.0	1
13057	2017	20200	145	53.3	2.0	0
20278	2017	23700	145	38.7	3.0	0
